Season,name,position,team,total_points,bps,clean_sheets,bonus,influence,ict_index,minutes,goals_scored,threat,assists,creativity,value,selected
2021-22,Tino Livramento,DEF,Southampton,0,12,0,0,19.4,3.9,90,0,2.0,0,17.4,4.6,1974327
2021-22,Trent Alexander-Arnold,DEF,Liverpool,9,31,1,0,33.4,6.9,90,0,4.0,1,31.3,7.9,3212101
2021-22,Nélson Cabral Semedo,DEF,Wolves,5,20,1,0,11.0,1.8,75,0,2.0,0,4.6,4.9,211452
2021-22,Tyrick Mitchell,DEF,Crystal Palace,1,9,0,0,10.4,2.7,90,0,0.0,0,16.9,4.5,109344
2021-22,Marc Guéhi,DEF,Crystal Palace,9,33,0,2,51.2,9.0,90,1,37.0,0,1.4,4.5,48800
2021-22,Ezri Konsa Ngoyo,DEF,Aston Villa,2,7,0,0,2.8,0.7,90,0,4.0,0,0.4,4.9,46750
2021-22,James Tomkins,DEF,Crystal Palace,1,18,0,0,17.6,3.0,90,0,2.0,0,10.7,4.3,8101
2021-22,Max Aarons,DEF,Norwich,6,20,1,0,13.6,5.9,90,0,33.0,0,12.7,4.3,104560
2021-22,Virgil van Dijk,DEF,Liverpool,15,45,1,3,55.6,8.3,90,1,17.0,0,10.4,6.6,1500440
2021-22,Romain Perraud,DEF,Southampton,0,10,0,0,16.0,3.5,87,0,18.0,0,1.3,4.9,8367
2021-22,Grant Hanley,DEF,Norwich,7,28,1,1,7.8,1.2,90,0,4.0,0,0.3,4.4,13420
2021-22,Matt Ritchie,DEF,Newcastle,0,3,0,0,0.0,0.0,66,0,0.0,0,0.3,4.9,21595
2021-22,Fabian Schär,DEF,Newcastle,1,15,0,0,20.0,4.5,90,0,15.0,0,10.3,4.3,12275
2021-22,Ben White,DEF,Arsenal,6,26,1,0,22.8,2.6,90,0,0.0,0,3.2,4.4,1026027
2021-22,Emil Krafth,DEF,Newcastle,0,9,0,0,21.0,2.2,90,0,0.0,0,1.1,4.3,5387
2021-22,Takehiro Tomiyasu,DEF,Arsenal,12,38,1,3,32.4,8.6,90,0,10.0,1,43.1,4.6,291657
2021-22,Gabriel Magalhães,DEF,Arsenal,8,30,1,2,29.2,4.5,90,0,4.0,0,11.9,5.1,220181
2021-22,Nuno Varela Tavares,DEF,Arsenal,11,30,1,2,12.4,6.8,90,0,37.0,1,18.3,4.3,32853
2021-22,Jamaal Lascelles,DEF,Newcastle,0,12,0,0,12.4,1.5,90,0,2.0,0,0.2,4.4,16239
2021-22,Diego Llorente,DEF,Leeds,1,16,0,0,20.0,2.3,90,0,0.0,0,2.8,4.5,49620
2021-22,Pascal Struijk,DEF,Leeds,1,14,0,0,21.6,4.8,90,0,4.0,0,22.6,4.4,15962
2021-22,Héctor Junior Firpo Adames,DEF,Leeds,1,4,0,0,3.6,0.8,31,0,4.0,0,0.5,4.8,28692
2021-22,Japhet Tanganga,DEF,Spurs,2,11,0,0,13.6,1.4,67,0,0.0,0,0.8,4.3,108426
