Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
,Juraj Kucka,MID,,1,4,4.2,0,2.0,0,15.0,17,0.3,0,55,0,4443
,Maxwel Cornet,MID,,3,2,0.0,0,1.3,0,4.0,84,10.2,0,61,1,252284
,Raúl Jiménez,FWD,,2,-1,0.0,0,3.5,0,23.0,90,13.2,0,78,1,1203893
,Boubakary Soumaré,MID,,1,5,4.8,0,0.8,0,2.0,45,1.1,0,48,0,12989
,Emmanuel Dennis,FWD,,9,36,45.0,1,9.6,3,23.0,90,27.5,0,53,0,993333
,Leandro Trossard,MID,,2,9,8.6,0,3.5,0,12.0,90,14.1,0,65,0,267051
,Jakub Moder,MID,,2,9,26.2,0,6.2,0,19.0,90,16.3,0,45,0,59908
,Declan Rice,MID,,2,18,21.6,0,4.9,0,11.0,90,16.4,0,51,0,527016
,James Ward-Prowse,MID,,2,21,22.8,0,7.0,0,6.0,90,41.3,0,63,0,174927
,Joshua King,FWD,,2,4,0.8,0,2.6,0,8.0,90,17.1,0,57,0,435514
,Adama Traoré,MID,,3,17,9.6,0,6.4,0,22.0,90,32.1,0,57,1,138029
,Armando Broja,FWD,,1,0,0.2,0,0.3,0,2.0,25,0.8,0,50,0,148284
,Che Adams,FWD,,9,30,40.4,1,11.3,3,71.0,90,1.6,0,68,0,94675
,Matej Vydra,FWD,,1,3,0.0,0,0.1,0,2.0,18,0.3,0,52,0,29849
,Jarrod Bowen,MID,,2,-2,8.2,0,3.7,0,27.0,90,2.2,0,64,0,270907
,Francisco Machado Mota de Castro Trincão,MID,,1,2,2.2,0,3.3,0,20.0,6,11.0,0,57,0,30991
,Manuel Lanzini,MID,,1,4,2.4,0,0.7,0,2.0,14,2.7,0,58,0,12043
,Moussa Sissoko,MID,,6,22,32.0,0,7.9,1,21.0,90,25.8,1,45,0,216007
,Ruben Loftus-Cheek,MID,,2,9,3.6,0,2.8,0,8.0,90,16.3,0,54,0,15747
,Mohamed Elyounoussi,MID,,1,3,0.0,0,0.3,0,3.0,16,0.6,0,55,0,12684
,Leander Dendoncker,MID,,3,12,20.8,0,7.8,0,19.0,90,37.8,0,48,1,11214
,Hee-Chan Hwang,FWD,,1,9,12.2,0,6.4,0,35.0,84,16.4,0,58,1,1055879
,Johann Berg Gudmundsson,MID,,3,8,3.4,0,0.9,0,4.0,71,1.6,0,54,1,5462
,Mason Mount,MID,,12,34,57.6,1,9.7,2,23.0,90,16.4,1,74,0,1111684
,Christian Pulisic,MID,,2,9,6.4,0,2.9,0,10.0,90,12.2,0,79,0,58086
,João Filipe Iria Santos Moutinho,MID,,3,15,9.8,0,4.2,0,1.0,90,31.1,0,50,1,49944
,Oriol Romeu Vidal,MID,,1,11,12.6,0,3.7,0,2.0,90,22.6,0,45,0,54277
,Neal Maupay,FWD,,8,30,39.6,1,8.8,3,31.0,90,17.3,0,64,0,215745
,Ayoze Pérez,MID,,1,4,6.6,0,2.4,0,7.0,29,10.3,0,57,0,9811
,Jeremy Sarmiento,MID,,1,5,1.2,0,0.2,0,0.0,12,0.3,0,45,0,622
,Adam Lallana,MID,,2,11,4.2,0,2.3,0,12.0,90,6.3,0,54,0,19938
,Saúl Ñíguez,MID,,0,-5,0.0,0,0.4,0,4.0,45,0.4,0,50,0,10054
,Tomas Soucek,MID,,9,26,42.2,1,8.9,2,35.0,90,11.6,0,57,0,381320
,Jack Cork,MID,,3,10,10.6,0,1.3,0,0.0,90,1.9,0,44,1,11597
,Imrân Louza,MID,,1,7,6.0,0,3.0,0,10.0,72,13.6,0,52,0,2327
,Romelu Lukaku,FWD,,1,2,2.2,0,0.4,0,0.0,21,1.8,0,115,0,836247
,João Pedro Junqueira de Jesus,FWD,,2,11,11.0,0,7.1,0,24.0,90,36.0,0,54,0,14576
,Josh Brownhill,MID,,3,20,30.8,0,5.4,0,0.0,90,22.7,0,44,1,338635
,James Maddison,MID,,10,30,43.2,1,11.1,3,42.0,90,26.0,0,66,0,484447
,Solomon March,MID,,3,13,12.0,0,3.5,0,4.0,77,18.8,0,53,1,5985
