,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
60536,1,13,17.0,0,4.4,0,26.0,90,1.1,0,55,0,257354
60537,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,5921
60538,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,3085
60539,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,97401
60540,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,37252
60541,0,0,0.0,0,0.0,0,0.0,0,0.0,0,67,0,122439
60542,2,20,18.4,0,5.0,0,0.0,90,31.6,0,51,0,641562
60543,0,0,0.0,0,0.0,0,0.0,0,0.0,0,53,0,2261
60544,1,3,3.2,0,2.8,0,21.0,74,3.3,0,62,0,64751
60545,1,13,20.4,0,2.0,0,0.0,90,0.0,0,55,0,297864
60546,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,1002
60547,6,27,23.0,0,2.3,0,0.0,90,0.0,0,56,1,1065712
60548,3,6,4.4,0,0.7,0,2.0,61,0.6,0,73,1,143790
60549,7,28,20.4,0,2.0,1,0.0,90,0.0,0,57,1,1386500
60550,0,0,0.0,0,0.0,0,0.0,0,0.0,0,97,0,194845
60551,6,27,12.6,0,1.4,0,0.0,90,1.0,0,66,1,856455
60552,6,26,14.4,0,3.2,0,4.0,90,13.6,0,63,1,1525643
60553,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,7562
60554,1,-1,0.0,0,0.1,0,2.0,65,0.6,0,114,1,2851683
60555,3,1,0.0,0,3.3,0,31.0,90,1.9,0,129,1,1992452
60556,6,27,20.8,0,2.3,0,2.0,90,0.1,0,57,1,426281
60557,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,15277
60558,0,0,0.0,0,0.0,0,0.0,0,0.0,0,61,0,188036
60559,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,2061
60560,3,4,5.0,0,1.9,0,10.0,90,3.5,0,99,1,2180231
60561,0,0,0.0,0,0.0,0,0.0,0,0.0,0,56,0,214358
60562,2,12,15.0,0,3.2,0,2.0,90,15.0,0,76,1,527174
60563,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,8086
60564,3,6,4.6,0,2.4,0,6.0,75,13.0,0,111,1,271553
60565,5,23,20.4,0,2.8,0,0.0,90,7.7,0,62,1,739315
60566,0,0,0.0,0,0.0,0,0.0,0,0.0,0,64,0,1953
60567,6,25,17.0,0,6.8,0,11.0,90,40.4,0,51,1,167689
60568,8,29,25.8,0,2.6,2,0.0,90,0.3,0,53,1,346049
60569,0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,0,1192821
60570,2,3,0.0,0,0.6,0,4.0,71,1.7,0,94,1,1287583
60571,1,3,2.6,0,1.8,0,0.0,28,15.3,0,57,0,367484
60572,2,7,2.6,0,0.8,0,2.0,90,2.9,0,55,1,62305
60573,0,0,0.0,0,0.0,0,0.0,0,0.0,0,71,0,111043
