Season,name,position,assists,bonus,bps,clean_sheets,creativity,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Morgan Sanson,MID,0,0,4,0,0.4,131,0,0,0.2,1.4,13,0,0,0,0,14,0,1330,2.0,1.0,0.0,1,-7,53,60,50,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Fernando Luiz Rosa,MID,0,0,9,0,9.5,131,1,0,1.6,4.0,90,0,0,0,0,14,0,31086,2.0,1.0,2.0,2,1696,2257,561,48,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Diogo Jota,MID,0,1,37,0,40.8,132,1,1,12.3,50.0,87,0,0,0,0,14,0,2120029,4.0,1.0,32.0,8,664001,674767,10766,78,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Leon Bailey,MID,0,0,5,0,0.2,131,1,0,2.1,2.4,30,0,0,0,0,14,0,54282,2.0,1.0,18.0,1,-2313,1315,3628,64,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Ollie Watkins,FWD,0,3,31,0,13.4,131,2,1,8.1,40.6,90,0,0,0,0,14,0,256497,2.0,1.0,27.0,9,-10504,20389,30893,74,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Abdoulaye Doucouré,MID,0,0,5,0,4.2,132,4,0,4.6,6.6,90,0,0,0,0,14,0,140159,4.0,1.0,35.0,2,332,4874,4542,54,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Thiago Alcántara do Nascimento,MID,0,0,6,0,2.3,132,1,0,2.1,7.2,74,0,0,0,0,14,0,51657,4.0,1.0,11.0,1,12637,14054,1417,53,0,1,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Gabriel Fernando de Jesus,FWD,1,0,23,0,15.9,131,1,0,10.6,24.8,86,0,0,0,0,14,0,810500,2.0,1.0,65.0,5,-33963,35317,69280,87,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Richarlison de Andrade,FWD,1,0,16,0,11.3,132,4,0,4.8,23.6,90,0,0,0,0,14,0,331869,4.0,1.0,13.0,5,-5173,3181,8354,74,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Alex Oxlade-Chamberlain,MID,0,0,2,0,0.7,132,0,0,0.1,0.4,7,0,0,0,0,14,0,13479,4.0,1.0,0.0,1,-488,453,941,58,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Sadio Mané,MID,0,0,5,0,14.0,132,1,0,7.5,7.8,90,0,0,0,0,14,0,428080,4.0,1.0,53.0,2,-17350,21199,38549,120,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Salomón Rondón,FWD,0,0,8,0,0.8,132,2,0,0.9,8.2,58,0,0,0,0,14,0,13723,4.0,1.0,0.0,1,-654,510,1164,60,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Takumi Minamino,MID,0,0,3,0,0.1,132,0,0,0.0,0.2,2,0,0,0,0,14,0,5539,4.0,1.0,0.0,1,-201,271,472,51,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Emiliano Buendía Stati,MID,0,0,15,0,15.8,131,2,0,4.8,4.0,90,0,0,0,0,14,0,88018,2.0,1.0,28.0,2,-5478,592,6070,62,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,John McGinn,MID,0,0,15,0,32.1,131,2,0,5.4,21.8,90,0,0,0,0,14,0,104599,2.0,1.0,0.0,2,15938,21501,5563,58,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Jordan Henderson,MID,1,3,42,0,24.8,132,1,1,9.9,55.0,82,0,0,0,0,14,0,157293,4.0,1.0,19.0,13,-1297,11241,12538,50,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Andros Townsend,MID,0,0,2,0,15.7,132,3,0,2.8,0.6,72,0,0,0,0,14,0,757271,4.0,1.0,12.0,1,-91512,14336,105848,55,1,1,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Demarai Gray,MID,0,0,20,0,14.7,132,4,1,9.0,33.6,84,0,0,0,0,14,0,813585,4.0,1.0,42.0,6,-110217,4225,114442,56,1,1,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Marvelous Nakamba,MID,0,0,9,0,0.9,131,2,0,1.5,13.6,76,0,0,0,0,14,0,18277,2.0,1.0,0.0,2,292,918,626,45,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Rodrigo Hernandez,MID,0,0,12,0,6.4,131,1,0,4.5,15.2,90,0,0,0,0,14,0,102029,2.0,1.0,23.0,2,12364,17759,5395,55,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
