Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Jeremy Sarmiento,MID,Brighton,1,5,1.2,0,0.2,0,0.0,12,0.3,0,45,0,622
2021-22,Adam Lallana,MID,Brighton,2,11,4.2,0,2.3,0,12.0,90,6.3,0,54,0,19938
2021-22,Saúl Ñíguez,MID,Chelsea,0,-5,0.0,0,0.4,0,4.0,45,0.4,0,50,0,10054
2021-22,Tomas Soucek,MID,West Ham,9,26,42.2,1,8.9,2,35.0,90,11.6,0,57,0,381320
2021-22,Jack Cork,MID,Burnley,3,10,10.6,0,1.3,0,0.0,90,1.9,0,44,1,11597
2021-22,Imrân Louza,MID,Watford,1,7,6.0,0,3.0,0,10.0,72,13.6,0,52,0,2327
2021-22,Romelu Lukaku,FWD,Chelsea,1,2,2.2,0,0.4,0,0.0,21,1.8,0,115,0,836247
2021-22,João Pedro Junqueira de Jesus,FWD,Watford,2,11,11.0,0,7.1,0,24.0,90,36.0,0,54,0,14576
2021-22,Josh Brownhill,MID,Burnley,3,20,30.8,0,5.4,0,0.0,90,22.7,0,44,1,338635
2021-22,James Maddison,MID,Leicester,10,30,43.2,1,11.1,3,42.0,90,26.0,0,66,0,484447
2021-22,Solomon March,MID,Brighton,3,13,12.0,0,3.5,0,4.0,77,18.8,0,53,1,5985
2021-22,Harvey Barnes,MID,Leicester,2,10,12.4,0,8.2,0,43.0,74,26.1,0,65,0,229932
2021-22,Chris Wood,FWD,Burnley,1,1,0.4,0,1.7,0,6.0,58,10.5,0,67,0,109554
2021-22,Hakim Ziyech,MID,Chelsea,6,22,41.0,1,7.7,1,34.0,30,1.5,0,73,0,39335
2021-22,Jamie Vardy,FWD,Leicester,2,6,3.6,0,4.5,0,18.0,90,23.6,0,106,0,2406342
2021-22,Pablo Fornals,MID,West Ham,6,20,22.0,0,5.5,0,8.0,76,24.8,1,60,1,195799
2021-22,Ademola Lookman,MID,Leicester,1,3,2.8,0,1.8,0,4.0,60,10.8,0,60,0,9575
2021-22,Nathan Redmond,MID,Southampton,5,21,24.2,0,7.8,0,20.0,90,33.5,1,59,0,19084
2021-22,Wilfred Ndidi,MID,Leicester,4,10,7.8,0,2.9,0,20.0,90,0.9,1,48,0,80905
2021-22,Dwight McNeil,MID,Burnley,3,5,18.6,0,5.0,0,25.0,90,6.3,0,58,1,16045
2021-22,Aaron Lennon,MID,Burnley,1,3,0.0,0,0.0,0,0.0,5,0.0,0,49,0,1330
2021-22,Yves Bissouma,MID,Brighton,2,16,16.2,0,3.7,0,4.0,90,16.5,0,44,0,860555
2021-22,Kiernan Dewsbury-Hall,MID,Leicester,0,3,4.2,0,2.9,0,20.0,45,5.1,0,45,0,3512
2021-22,Jay Rodriguez,FWD,Burnley,0,0,0.4,0,1.4,0,3.0,31,10.4,0,53,0,41101
2021-22,Adam Armstrong,FWD,Southampton,2,10,12.6,0,5.5,0,11.0,73,31.5,0,60,0,348189
2021-22,Michail Antonio,FWD,West Ham,1,1,6.4,0,5.5,0,27.0,90,21.7,0,81,0,3775385
2021-22,Tom Cleverley,MID,Watford,1,9,16.0,0,6.6,0,24.0,84,25.8,0,48,0,9774
2021-22,Kai Havertz,MID,Chelsea,5,20,32.8,0,8.5,0,25.0,90,26.7,1,80,0,406292
2021-22,Nathan Tella,MID,Southampton,2,7,7.6,0,5.2,0,29.0,64,15.5,0,47,0,4596
2021-22,Mateusz Klich,MID,Leeds,1,5,2.2,0,0.3,0,0.0,45,0.6,0,54,0,35538
2021-22,Jeffrey Schlupp,MID,Crystal Palace,3,11,23.2,0,2.8,0,1.0,79,3.3,0,54,1,3656
2021-22,Michael Olise,MID,Crystal Palace,1,3,0.0,0,0.0,0,0.0,1,0.0,0,54,0,7012
2021-22,Adam Forshaw,MID,Leeds,2,5,10.4,0,3.4,0,19.0,90,4.2,0,45,1,2372
2021-22,Will Hughes,MID,Crystal Palace,1,1,1.4,0,0.2,0,0.0,10,0.5,0,47,0,3888
2021-22,Stuart Dallas,MID,Leeds,2,9,26.2,0,6.3,0,18.0,90,19.1,0,51,1,392857
2021-22,Rodrigo Moreno,FWD,Leeds,1,-2,3.2,0,5.5,0,40.0,45,11.7,0,63,0,151817
2021-22,Wilfried Zaha,MID,Crystal Palace,2,1,8.8,0,7.1,0,29.0,90,33.0,0,70,0,682256
2021-22,Daniel James,MID,Leeds,3,8,8.2,0,7.7,0,56.0,90,13.1,0,60,1,59753
2021-22,Jordan Ayew,FWD,Crystal Palace,2,6,14.0,0,4.4,0,12.0,89,17.7,0,58,1,45216
2021-22,Christian Benteke,FWD,Crystal Palace,1,0,1.0,0,2.7,0,25.0,22,1.2,0,64,0,299405
2021-22,Raphael Dias Belloli,MID,Leeds,8,23,43.0,1,8.7,0,27.0,90,16.8,0,67,1,1748678
2021-22,Conor Gallagher,MID,Crystal Palace,1,7,12.2,0,4.9,0,28.0,90,8.6,0,61,0,2538755
2021-22,Kalvin Phillips,MID,Leeds,3,13,15.2,0,4.0,0,12.0,90,12.3,0,48,1,125820
2021-22,Odsonne Edouard,FWD,Crystal Palace,2,6,7.0,0,0.9,0,0.0,67,2.1,0,65,1,196732
2021-22,Tyler Roberts,MID,Leeds,2,3,5.6,0,3.4,0,7.0,90,21.0,0,48,1,5151
2021-22,Callum Wilson,FWD,Newcastle,9,37,49.2,1,10.3,3,21.0,90,32.3,0,74,0,331315
2021-22,Jonjo Shelvey,MID,Newcastle,2,13,7.0,0,2.6,0,1.0,90,18.2,0,53,0,6550
2021-22,Miguel Almirón,MID,Newcastle,1,4,2.2,0,0.2,0,0.0,13,0.1,0,52,0,22697
2021-22,Christos Tzolis,MID,Norwich,1,7,11.0,0,9.2,0,66.0,45,14.8,0,48,0,4077
2021-22,Lukas Rupp,MID,Norwich,2,18,10.2,0,5.9,0,20.0,90,28.7,0,44,0,33213
2021-22,Joshua Sargent,FWD,Norwich,2,11,7.4,0,3.6,0,27.0,66,1.7,0,54,0,12106
2021-22,Teemu Pukki,FWD,Norwich,8,24,31.2,1,7.4,2,31.0,90,11.4,0,58,0,467840
